,matchId,pos,position2,position3,position4,distance2,distance3,x_position4,y_position4
43603,2925528059,"[array([3230., 7727.]), array([3384., 6883.]), array([7768., 3810.]), array([12845.,  1897.]), array([4754., 6631.]), array([2451., 8308.])]",[3384. 6883.],[7768. 3810.],[12845.  1897.],627.0127590408348,328.5178838358728,12845.0,1897.0
44513,2925532240,"[array([4942., 8731.]), array([3645., 6572.]), array([7496., 3941.]), array([5904., 3967.]), array([3562., 6539.]), array([614., 806.])]",[3645. 6572.],[7496. 3941.],[5904. 3967.],556.0656436069396,59.135437767890075,5904.0,3967.0
51217,2925563997,"[array([3350., 7772.]), array([3346., 6702.]), array([7002., 4225.]), array([9433., 5582.]), array([ 1345., 11381.]), array([394., 461.])]",[3346. 6702.],[7002. 4225.],[9433. 5582.],718.6932586298552,546.4695782932478,9433.0,5582.0
52065,2925567964,"[array([3507., 7877.]), array([3665., 6631.]), array([7874., 3604.]), array([6921., 4279.]), array([2239., 4014.]), array([ 2823., 11689.])]",[3665. 6631.],[7874. 3604.],[6921. 4279.],498.3833865609888,544.6944097381577,6921.0,4279.0
54511,2925580230,"[array([5168., 8538.]), array([3281., 7061.]), array([7095., 4115.]), array([8876., 5463.]), array([8781., 2450.]), array([3199., 3028.])]",[3281. 7061.],[7095. 4115.],[8876. 5463.],721.5829820609686,421.0106887004177,8876.0,5463.0
55835,2925586579,"[array([3262., 7751.]), array([3434., 6687.]), array([7565., 3768.]), array([3755., 6542.]), array([ 3133., 13003.]), array([3194., 7392.])]",[3434. 6687.],[7565. 3768.],[3755. 6542.],646.7804882647589,240.9336008115099,3755.0,6542.0
57072,2925593319,"[array([3547., 8423.]), array([3643., 6601.]), array([8046., 3907.]), array([3612., 2393.]), array([3027., 7403.]), array([2222., 9550.])]",[3643. 6601.],[8046. 3907.],[3612. 2393.],535.3970489272424,553.8637016450889,3612.0,2393.0
57340,2925594675,"[array([6600., 4574.]), array([3397., 6873.]), array([7778., 3762.]), array([2492., 3601.]), array([4151., 6017.]), array([7219., 4680.])]",[3397. 6873.],[7778. 3762.],[2492. 3601.],616.2288535925594,365.96174663480883,2492.0,3601.0
57378,2925594848,"[array([3332., 8125.]), array([3584., 6495.]), array([7778., 3493.]), array([ 2707., 12301.]), array([6461., 9333.]), array([1361.,  677.])]",[3584. 6495.],[7778. 3493.],[ 2707. 12301.],654.2789924795079,578.2153578036474,2707.0,12301.0
61395,2925615440,"[array([3335., 7783.]), array([4007., 7145.]), array([7335., 3916.]), array([2991., 9338.]), array([8648., 2164.]), array([10041.,  6511.])]",[4007. 7145.],[7335. 3916.],[2991. 9338.],145.16886718577092,185.15128949051368,2991.0,9338.0
