,pos,win
278,"[[3782,8097],[10154,4942],[4971,4460]]",1
279,"[[8414,2204],[5636,11437]]",0
280,"[[8415,2721],[6598,9050]]",0
281,"[[3820,6228],[4436,11622]]",0
282,"[[6628,4651],[5705,9023]]",0
283,"[[8483,2669],[9348,5652]]",1
284,"[[7048,5292],[9693,7339]]",0
285,"[[8753,2364],[5287,9148]]",0
286,"[[4800,7390]]",1
287,"[[8107,2416],[11119,5758]]",0
288,"[[8752,2436],[12611,5205]]",1
289,"[[7640,5093],[11313,4561]]",1
290,"[[3307,8141],[6683,1359]]",1
291,"[[7678,5152],[4580,9708],[8683,5741]]",0
292,"[[7037,10894],[9522,5571]]",0
293,"[[10853,5316],[11552,7777]]",0
294,"[[8799,2290],[13233,2349],[3540,6610]]",1
295,"[[7689,2258],[3307,7774],[9395,5959]]",1
296,"[[3687,8012],[6053,8680]]",0
297,"[[8200,2575],[11579,6822],[886,1304]]",0
298,"[[8587,2605],[9951,5340],[2289,8522]]",0
299,"[[7849,8134]]",0
300,"[[11797,6544],[3886,9711],[3896,6287]]",0
301,"[[10311,5306],[6772,5044]]",1
302,"[[6691,4814],[4873,12294]]",1
303,"[[5185,5818]]",0
304,"[[8222,2358],[5525,9189]]",1
305,"[[7600,5208],[7989,2121],[4351,9303]]",0
306,"[[8919,2556],[4059,9621],[2537,4732]]",0
307,"[[8265,2681],[4063,7516],[2898,7671]]",1
308,"[[7943,2265],[3837,10396]]",1
309,"[[4801,6176]]",1
310,"[[8343,2659],[1153,855],[3431,7796]]",0
311,"[[6445,8000]]",0
312,"[[9123,2510]]",1
313,"[[3340,6567],[3030,9926]]",1
314,"[[9958,6798]]",1
315,"[[7159,5026],[5884,9013]]",1
316,"[[6252,4934]]",1
317,"[[7144,4711],[4108,9574],[6531,6445]]",1
318,"[[6000,5141]]",1
319,"[[8262,2167],[6811,4958],[3388,8931]]",1
320,"[[7078,4103],[3298,7709],[2425,8551]]",0
321,"[[8822,2458],[10280,7324]]",0
322,"[[8650,2480],[13237,3336]]",1
323,"[[8665,2553],[5952,6229]]",0
324,"[[5665,12195],[3059,8068]]",1
325,"[[8059,2142],[5368,8984]]",0
326,"[[8538,2723],[6526,4841],[3727,6390]]",1
327,"[[9212,5613]]",1
328,"[[3528,7799],[7052,11352],[394,461]]",0
329,"[[7578,2310]]",0
330,"[[6921,4827],[11070,5400],[7279,6058]]",0
331,"[[8650,5851]]",0
332,"[[8214,6996]]",1
333,"[[9285,2407]]",0
334,"[[3157,7434],[3657,13564]]",1
335,"[[8015,7525]]",1
336,"[[3487,6472],[4673,13624]]",0
337,"[[8377,2601],[4234,9515],[6328,6491]]",1
338,"[[9392,2550]]",0
339,"[[8482,2573],[4615,9131],[7399,8002]]",1
340,"[[6976,9736]]",0
341,"[[12732,3177]]",0
342,"[[8596,2422],[11761,5484]]",0
343,"[[11018,5048],[2462,8403]]",0
344,"[[7229,5126],[11232,5749]]",0
345,"[[8658,2579],[3740,8004],[1776,10416]]",1
346,"[[8847,2233],[2427,4447]]",0
347,"[[3709,9117]]",0
348,"[[12130,6561],[4968,5991]]",0
349,"[[3777,9262],[8017,3507]]",0
350,"[[8359,2539],[7850,9730],[3970,9035]]",0
351,"[[8701,2454],[8701,6707]]",0
352,"[[6546,12442],[5274,9006]]",0
353,"[[4005,6112],[10584,4903],[7818,3663]]",0
354,"[[3527,7720],[4618,6730]]",1
355,"[[8044,2219],[11670,6814],[11480,6405]]",1
356,"[[5722,5381]]",1
357,"[[6685,4424]]",1
358,"[[10253,5106],[11406,6328]]",1
359,"[[7812,2298],[7882,8236]]",1
360,"[[6836,4946],[10690,5057],[1548,652]]",0
361,"[[11098,6721],[10477,7451]]",1
362,"[[3560,8111],[10016,7677]]",1
363,"[[9691,5315],[3275,8122],[3559,10720]]",0
364,"[[9097,5479]]",0
365,"[[5141,9181]]",1
366,"[[4738,9358],[5659,8926]]",0
367,"[[3486,6741],[3399,8565],[1314,10384]]",1
368,"[[8241,2406],[12367,2754],[2944,11065]]",1
369,"[[7011,8259]]",0
370,"[[8347,2517],[5151,5737]]",0
371,"[[6639,4790],[6879,8625]]",0
372,"[[8197,2256],[6130,9410]]",1
373,"[[6609,4670],[2496,4663]]",0
374,"[[6989,5138],[4739,9247],[1657,11258]]",0
375,"[[9089,2480],[5055,9331],[2924,7533]]",1
376,"[[8108,3466],[9934,5736]]",0
377,"[[8809,2347],[7386,6753],[2129,3824]]",0
378,"[[8235,2444],[4991,8948]]",0
379,"[[3700,9111]]",1
380,"[[8342,2768],[4696,8950],[6494,9871]]",1
381,"[[10448,3136]]",0
382,"[[5287,8761]]",0
383,"[[5599,8981]]",0
384,"[[8233,2253],[3436,6955],[3516,9200]]",1
385,"[[3359,7101]]",1
386,"[[4823,8703]]",1
387,"[[7188,13938]]",1
388,"[[13518,2918]]",1
389,"[[8202,2092],[6011,12462]]",0
390,"[[8936,2520],[9824,5457],[3306,10294]]",1
391,"[[6480,4852],[3251,8114],[2317,8513],[5910,6202]]",0
392,"[[4833,8179]]",1
393,"[[8138,2168],[8761,4473]]",1
394,"[[6883,5349],[2586,12598],[1719,7090]]",0
395,"[[8183,2461],[10597,5465],[7008,4989]]",1
396,"[[8893,2465],[3401,7070],[3340,6782]]",0
397,"[[8107,2346],[11422,6318],[2732,6195]]",1
398,"[[3256,6668],[6546,9228]]",1
399,"[[8175,2146],[2814,7425]]",0
400,"[[7187,5077],[11009,5532]]",1
401,"[[8347,2529],[7115,6124]]",0
402,"[[6747,4912],[4464,13474]]",0
403,"[[3384,6173],[3097,8354],[5082,3103]]",1
404,"[[7559,5145],[5927,9938]]",1
405,"[[8588,2765],[7833,7285],[10257,5908]]",1
406,"[[7255,5020],[3634,8898]]",1
407,"[[4954,8471]]",1
408,"[[5164,8945]]",0
409,"[[8667,6429]]",1
410,"[[7258,4899],[5605,8932]]",0
411,"[[7884,2297],[8064,8094]]",1
412,"[[8600,2608],[7971,5536]]",0
413,"[[8538,5812]]",0
414,"[[6970,8350]]",0
415,"[[5562,9464]]",1
416,"[[7072,5444],[13279,3045]]",0
417,"[[9360,5620]]",1
418,"[[10341,5190],[3555,9543]]",0
419,"[[13854,3373]]",0
420,"[[10460,7535]]",0
421,"[[11087,5456]]",0
422,"[[8189,2163],[11157,7798],[3031,8288]]",1
423,"[[7977,2231],[5040,6127]]",1
424,"[[7945,2171],[11204,5925]]",1
425,"[[3787,6604],[4150,11574]]",1
426,"[[6520,11390],[3684,10154]]",1
427,"[[7253,4992],[3810,9721],[3688,10333]]",1
428,"[[8298,2120],[4818,8860]]",0
429,"[[5724,8568]]",1
430,"[[7801,3604],[8538,2320]]",1
431,"[[8077,2398],[11560,7110],[7465,6046]]",0
432,"[[7754,3935],[8289,2410]]",1
433,"[[3124,8356],[7880,7358],[7828,3848]]",0
434,"[[11107,6607],[2645,5558]]",1
435,"[[3363,6704],[6115,12372]]",0
436,"[[9272,2464]]",0
437,"[[3455,6634],[3097,7552],[6914,5203]]",0
438,"[[8289,2250],[11200,1170]]",1
439,"[[7490,5094],[2400,9071],[3898,7835]]",0
440,"[[10636,5356],[12073,6932]]",1
441,"[[8039,2308],[4270,7360]]",0
442,"[[2384,8358],[6187,5027]]",1
443,"[[5886,9468]]",1
444,"[[9526,5569]]",1
445,"[[7407,3975],[3445,7903],[3833,6312]]",1
446,"[[7806,5256]]",0
447,"[[7359,9712],[8917,2480]]",1
448,"[[6468,4665]]",0
449,"[[7585,4999],[11946,2151],[1336,2145]]",0
450,"[[9435,5811]]",1
451,"[[3132,7426],[6269,8729]]",1
452,"[[6947,5510],[2725,3433]]",0
453,"[[9205,2453]]",1
454,"[[8549,2606],[4045,9644],[3206,6418],[9589,4557]]",0
455,"[[5212,8873]]",1
456,"[[3656,9413],[4645,7744]]",0
457,"[[6092,8468]]",1
458,"[[6260,6962]]",1
459,"[[7516,2998]]",1
460,"[[7691,2196],[11423,6408],[12901,5205]]",1
461,"[[8673,2275],[11179,6635],[7569,5222],[7552,7567]]",1
462,"[[5111,5714]]",1
463,"[[8672,2431],[3286,7732],[2676,5852]]",0
464,"[[13191,2877]]",1
465,"[[5307,9157]]",1
466,"[[3357,6774],[2482,8607],[9838,5311]]",1
467,"[[4666,9044],[2860,8217],[4719,1013]]",1
468,"[[4861,9034],[2925,11080]]",1
469,"[[10062,5636],[2220,9521]]",1
470,"[[11834,3866]]",1
471,"[[3674,9021]]",1
472,"[[7669,5035],[5556,4989]]",0
473,"[[4761,8085]]",0
474,"[[3027,7774],[6694,4811],[8870,2487]]",0
475,"[[6964,4617],[4188,10096],[2911,9460]]",1
476,"[[10708,4513],[10295,5391]]",0
477,"[[4908,8932]]",0
478,"[[8235,2569],[7550,7593],[1969,12083]]",0
479,"[[4809,8084]]",0
480,"[[9922,2564]]",1
481,"[[7186,5294],[8850,2522],[1671,2958]]",1
482,"[[8349,2406],[7862,5465]]",0
483,"[[6480,8382]]",0
484,"[[12402,2402],[4371,10049]]",1
485,"[[3589,6422],[5710,7335]]",0
486,"[[7387,5018],[6415,8639]]",1
487,"[[7414,3279],[1158,2027]]",0
488,"[[7028,5004],[3642,9259]]",1
489,"[[6917,4994],[3919,9457],[3468,7938],[6241,9188]]",1
490,"[[8132,2341],[3619,8507],[6006,12584]]",0
491,"[[8162,2264],[6598,4790],[3587,9110]]",1
492,"[[8472,2458],[4331,9794],[3146,7474],[2552,8412]]",1
493,"[[4090,7519],[4820,6159]]",0
494,"[[5014,8641]]",0
495,"[[5170,8805]]",0
496,"[[4805,9236],[10446,3115]]",0
497,"[[3526,6475],[4213,11849]]",0
498,"[[8951,2533],[11089,1987]]",0
499,"[[3900,6574],[3583,8382],[8503,5889]]",1
500,"[[5471,5587]]",1
501,"[[4756,9146],[2142,8464],[1243,759]]",0
502,"[[8953,2553],[9143,5771]]",1
503,"[[7974,2308],[3629,10157]]",1
504,"[[7984,2221],[8354,3548]]",1
505,"[[4934,8341]]",1
506,"[[7783,3746],[5484,8674]]",0
507,"[[5748,5356]]",1
508,"[[3138,3807]]",0
509,"[[7534,3878],[11612,7770]]",1
510,"[[8404,2517],[4427,9448],[4575,6205]]",0
511,"[[4787,7066]]",0
512,"[[6754,6301]]",0
513,"[[8844,2228],[3002,11124]]",0
514,"[[6640,4813],[4355,9495],[7230,11069]]",1
515,"[[8366,6858]]",1
516,"[[8694,5217]]",0
517,"[[7932,5354]]",1
518,"[[8254,2476],[9427,5512]]",0
519,"[[4529,9505],[3342,10197]]",1
520,"[[8705,2362],[6944,4773],[2338,9218]]",1
521,"[[10619,5075],[9980,6527]]",1
522,"[[8118,2125],[12562,3157]]",1
523,"[[5687,9049]]",1
524,"[[4219,11373]]",0
525,"[[8499,2385],[12754,6400],[7179,5351],[8152,7051]]",1
526,"[[8848,2532],[7089,6502]]",0
527,"[[7554,3931],[1942,3567]]",1
528,"[[8842,2439],[13322,2158]]",1
529,"[[8782,5835]]",0
530,"[[2211,8564],[6802,5224],[8297,2299]]",0
531,"[[11510,4438]]",1
532,"[[6814,5217],[11205,8682],[5203,5447]]",0
533,"[[4835,9090],[2664,5060]]",0
534,"[[3551,6643],[5522,8764]]",1
535,"[[6056,8420]]",1
536,"[[3607,6393],[3025,9352]]",1
537,"[[6963,5305],[10937,8306],[2618,717]]",0
538,"[[8535,6580]]",1
539,"[[5513,9305]]",1
540,"[[3603,6658],[7163,4943],[9133,2598]]",1
541,"[[7389,7112],[3122,7809],[11977,2236]]",0
542,"[[6662,4831],[3548,8010],[7927,1729]]",1
543,"[[8729,5553]]",0
544,"[[8056,3427],[3474,7856],[2246,8416]]",0
545,"[[6922,2834]]",1
546,"[[8426,2467],[12682,2382],[3540,8022]]",0
547,"[[4591,9482],[3510,7824],[4005,9897]]",0
548,"[[10723,5137],[7633,7289]]",1
549,"[[5148,9166]]",1
550,"[[3646,6640],[3358,8488],[11436,5638]]",1
551,"[[8425,2404],[7373,8024]]",1
552,"[[7852,3538],[11470,6369],[4347,6001]]",0
553,"[[6167,4180]]",1
