,pos,win
260,"[[11602,6492],[10082,7075]]",1
261,"[[12314,6451],[8828,9916]]",1
262,"[[12012,6728],[9883,9112]]",0
263,"[[3794,7992],[2863,8373]]",1
264,"[[7607,9800],[10355,8953]]",0
265,"[[11176,6083],[5661,9008]]",1
266,"[[7234,11421],[4040,9776],[5648,8800]]",0
267,"[[12527,6399],[8056,3515],[11492,7983]]",0
268,"[[6073,12694],[4282,9734],[9975,9056]]",1
269,"[[6398,12656],[11762,6630],[2712,8229]]",0
270,"[[12441,6531],[7763,10201],[9559,6244]]",1
271,"[[7788,10534]]",1
272,"[[12442,6366],[7514,7953]]",1
273,"[[12032,6563],[11373,11097]]",0
274,"[[12188,6620],[6900,11382],[2466,8326]]",0
275,"[[12340,6609],[7046,11225],[6572,12244],[4526,12242]]",0
276,"[[7895,10726]]",0
277,"[[6586,12572],[10935,4380]]",0
278,"[[6132,12405],[10012,8253]]",0
279,"[[6646,12476],[11469,8131],[10000,5160]]",1
280,"[[11869,6712],[8915,8885]]",1
281,"[[8000,9831],[7161,5083],[14300,14234]]",1
282,"[[8039,10150],[7725,11507]]",1
283,"[[12307,6634],[6270,9813]]",0
284,"[[11144,5801]]",1
285,"[[12600,6326],[7776,10797],[13071,12455]]",1
286,"[[9145,9679]]",0
287,"[[7352,9818],[11250,7072],[10924,13270]]",1
288,"[[8151,10212]]",0
289,"[[10659,8733],[3905,10347]]",0
290,"[[3700,10600]]",0
291,"[[6919,9828]]",1
292,"[[7508,11028],[8705,4690]]",1
293,"[[7773,10862],[2007,11727]]",1
294,"[[6325,12481],[11556,7103],[3581,10327]]",0
295,"[[6222,12172],[2650,11588]]",0
296,"[[12224,6597],[7472,9725],[13693,12625]]",1
297,"[[7783,9928],[5287,9262]]",1
298,"[[11929,7300]]",1
299,"[[7831,8630]]",1
300,"[[11092,4565]]",1
301,"[[5937,12600],[4106,9548],[11755,6907],[11243,5428]]",0
302,"[[6522,12440],[5147,8672]]",0
303,"[[11102,8359],[10637,5356],[7926,10111]]",1
304,"[[7060,11234],[5886,12492],[10988,4915]]",0
305,"[[6345,9133]]",1
306,"[[12490,6591],[6179,9930]]",1
307,"[[7387,11893]]",0
308,"[[10047,5995]]",0
309,"[[6581,12529],[3584,8932]]",0
310,"[[1848,11916],[11569,7011]]",1
311,"[[6568,7984]]",1
312,"[[8003,9980],[7707,9935]]",0
313,"[[7228,10078]]",0
314,"[[7751,10056],[14072,12809]]",0
315,"[[12378,6544],[8007,10116],[9028,9883]]",0
316,"[[4287,9402],[10030,7629]]",0
317,"[[2254,12006],[13760,13144]]",0
318,"[[10595,8790],[7637,9795],[10076,5133]]",0
319,"[[12001,6566],[4182,9484],[6606,12506],[3977,9441]]",0
320,"[[12379,6502],[11022,5050],[5918,9406]]",1
321,"[[5801,12649],[3120,7689],[12388,10527]]",1
322,"[[6476,12511],[3545,9535]]",0
323,"[[7881,9797],[3626,8700]]",1
324,"[[12061,6973],[8110,9975],[9555,8794]]",0
325,"[[10044,8415]]",1
326,"[[7289,5211],[7903,11750]]",0
327,"[[7139,12737]]",0
328,"[[12366,6624],[10949,8409],[7925,9767]]",1
329,"[[7218,11025],[3984,9593],[6337,11500]]",1
330,"[[3816,10763]]",1
331,"[[12429,6427],[6938,7996]]",1
332,"[[11208,6006],[4024,10454]]",0
333,"[[6980,9565]]",1
334,"[[11105,8436],[8622,6436]]",0
335,"[[11343,5821]]",0
336,"[[10743,8737],[6881,11400],[12536,6529]]",1
337,"[[12515,6558],[8094,9975],[4850,11536]]",0
338,"[[10522,5308],[6299,10059]]",1
339,"[[12155,6788],[7777,9870],[8304,7592]]",0
340,"[[11055,8713],[6927,11578],[13952,13723]]",1
341,"[[12617,6179],[5637,9074]]",1
342,"[[2539,11635]]",1
343,"[[11324,8375],[7046,11344],[6351,12484],[12097,7683]]",1
344,"[[3598,10323]]",1
345,"[[11946,6818],[4953,9609],[14272,14380]]",0
346,"[[9107,8552]]",1
347,"[[6399,12525],[3327,7993],[12238,10172]]",1
348,"[[12684,6166],[6370,11122]]",1
349,"[[5842,12459],[8462,4899]]",1
350,"[[11296,6070],[11790,2385]]",1
351,"[[2763,11447]]",1
352,"[[12273,6671],[6642,9657]]",1
353,"[[7238,9810],[12356,6547],[10519,4712]]",1
354,"[[7396,11890]]",0
355,"[[6168,12432],[3158,8250],[8814,9903]]",0
356,"[[6308,8674]]",0
357,"[[3878,9457],[4451,9848]]",0
358,"[[5918,12768],[4814,8188]]",0
359,"[[9664,9322]]",0
360,"[[8147,10438]]",1
361,"[[6699,11402],[7094,8258]]",0
362,"[[12286,6577],[7861,9847],[6738,7023]]",0
363,"[[7134,5091],[7327,8041]]",1
364,"[[6369,12120],[2770,12619],[11140,8185]]",1
365,"[[6305,12053],[7990,9764],[11794,6533],[7250,8897]]",0
366,"[[6642,12436],[7416,8643]]",1
367,"[[8273,10206]]",0
368,"[[3443,7792],[4823,8139]]",0
369,"[[5890,12839]]",1
370,"[[12544,6576],[7802,10806],[3327,10980]]",1
371,"[[7789,10060],[11016,4904],[8226,8212]]",1
372,"[[10313,7521]]",0
373,"[[7491,10983],[8848,6428]]",1
374,"[[11743,6546],[6771,12502]]",1
375,"[[10542,7486]]",0
376,"[[10434,8851]]",1
377,"[[10810,8720],[7453,7742],[10950,2314]]",1
378,"[[8186,7072]]",1
379,"[[5912,12626],[11307,8403],[12569,10766]]",0
380,"[[8180,10315]]",0
381,"[[3801,10822]]",1
382,"[[8216,10097]]",1
383,"[[5961,12411],[7176,5214],[12579,6451]]",1
384,"[[8076,10002],[5987,8489]]",0
385,"[[6543,12260],[3653,13515]]",0
386,"[[6383,12084],[12145,10790]]",0
387,"[[7468,4996],[5584,8536]]",0
388,"[[7918,10055],[3585,6713],[11374,8255]]",0
389,"[[3742,8288],[8966,9742]]",1
390,"[[6437,12248],[4809,9725],[7845,9741]]",0
391,"[[8205,10374]]",1
392,"[[7932,10678]]",0
393,"[[1749,12589],[11196,6538]]",0
394,"[[11982,6733],[7639,10994],[3187,7722]]",1
395,"[[11004,6965],[8700,10724]]",0
396,"[[10669,8739],[3553,9592]]",1
397,"[[7887,10774]]",0
398,"[[10755,8776],[6960,9612]]",0
399,"[[12255,6562],[8993,9662]]",1
400,"[[1664,11591]]",0
401,"[[11077,8437],[4875,9167],[14224,13734]]",1
402,"[[11347,8561],[7622,11065],[9887,6954]]",1
403,"[[11063,8414],[8167,10227]]",0
404,"[[11151,5764]]",0
405,"[[7941,10673]]",0
406,"[[7943,9964],[10281,9000]]",0
407,"[[7337,11271],[11164,8296],[7055,5263]]",0
408,"[[6471,11305],[10858,8325],[9386,1250]]",1
409,"[[3663,8226],[6546,12450]]",0
410,"[[11208,8360],[6504,9266]]",1
411,"[[6480,12341],[13614,12939]]",0
412,"[[11441,6333],[8252,5106]]",1
413,"[[7726,9817],[8988,2357]]",1
414,"[[9960,6829]]",1
415,"[[10738,8923],[8418,3711]]",0
416,"[[6526,11266],[3920,9711],[6862,9505]]",1
417,"[[8305,10095]]",0
418,"[[11628,6525],[6502,11350],[10794,8725]]",1
419,"[[11374,8252],[11302,8411]]",1
420,"[[11525,7217],[6217,10708]]",1
421,"[[11229,5391]]",1
422,"[[11604,6492],[3478,10493]]",0
423,"[[4470,9479],[9258,6303]]",0
424,"[[6375,8471]]",0
425,"[[11213,8498],[7176,10821],[3384,11060]]",0
426,"[[12429,6512],[8995,5442]]",0
427,"[[4160,7715],[3981,9811],[10995,8632]]",0
428,"[[11715,6537],[4876,9588],[5513,8785]]",1
429,"[[6215,12548],[10600,5144],[12407,6597],[9044,13724]]",0
430,"[[7512,11348],[11906,11373]]",0
431,"[[4605,9805],[3911,11549]]",1
432,"[[11710,7341]]",0
433,"[[12154,6444],[7780,10547]]",1
434,"[[6693,7429],[7468,6893]]",0
435,"[[7363,10987],[11366,12985]]",1
436,"[[6272,12373],[10465,7758]]",1
437,"[[11431,6590],[7690,9763],[5798,12712],[12397,3082]]",1
438,"[[7674,6867],[11352,1412]]",0
439,"[[12495,6472],[10421,8877]]",1
440,"[[7262,9788],[1783,13066],[11171,5046]]",0
441,"[[3920,10057],[2861,7898]]",1
442,"[[12688,6602],[7178,10830],[6265,10244]]",0
443,"[[7615,4984],[12475,10696]]",0
444,"[[10826,8779],[5189,8785]]",0
445,"[[10868,8800],[3654,9670],[7517,11592]]",0
446,"[[11640,7225],[9512,11866]]",1
447,"[[10962,8714],[14332,14375],[7797,10027]]",0
448,"[[7708,10251]]",1
449,"[[6798,12722],[2806,12377],[4211,11529]]",1
450,"[[8037,6993]]",0
451,"[[12523,6552],[8439,10016]]",0
452,"[[11700,6536],[6958,11342],[10087,13640]]",1
453,"[[6669,12747],[11076,6794],[11604,1827]]",0
454,"[[12498,6620],[6703,11464],[6266,9452]]",1
455,"[[10840,8638],[5849,9288]]",0
456,"[[7124,9709],[7554,5147],[9402,6339]]",1
457,"[[12264,6492],[7793,10513]]",0
458,"[[7145,7399],[2250,12145]]",0
459,"[[7081,12476],[8748,9817]]",0
460,"[[5819,8690]]",0
461,"[[6458,12513],[3526,7860],[7477,9680],[10844,8693]]",0
462,"[[6619,12293],[3224,10406]]",0
463,"[[11814,6645],[7046,10771],[1887,12468]]",1
464,"[[10900,8676],[9434,11274]]",0
465,"[[6674,12888],[3611,8960]]",0
466,"[[4257,9382],[10819,5140],[10261,5026]]",0
467,"[[6971,6597],[10645,5355]]",0
468,"[[7837,9949],[12876,11520]]",0
469,"[[7876,9644],[2500,13301]]",0
470,"[[7423,9790],[6022,10614]]",0
471,"[[8647,4029]]",0
472,"[[5207,9278]]",1
473,"[[7274,9706],[11410,6636],[11645,6519]]",1
474,"[[3532,9924]]",1
475,"[[11070,5662]]",0
476,"[[9159,7526]]",1
477,"[[7833,10090],[10989,7712],[11822,6588]]",1
478,"[[10980,8582],[7490,11169],[14038,13594]]",1
479,"[[12270,6527],[8593,6713]]",1
480,"[[10500,8788],[3767,9834],[12063,7111]]",0
481,"[[12495,6408],[9993,5266],[3058,11240]]",0
482,"[[6814,12677],[7225,5210],[6156,8507]]",1
483,"[[11961,6689],[11720,2829]]",1
484,"[[7392,9857],[5397,9562]]",0
485,"[[11328,6129],[5940,8802]]",1
486,"[[7223,11503],[6296,9392]]",0
487,"[[11810,6557],[4534,9576],[9020,11011]]",1
488,"[[7908,9816],[12788,2154]]",0
489,"[[11744,6694],[7833,9654],[8997,11365]]",0
490,"[[7440,10937],[12879,11470]]",1
491,"[[12531,6341],[10586,8760],[6013,12586],[1325,11489]]",0
492,"[[12461,6313],[6520,9592]]",0
493,"[[12216,6541],[7058,10953],[2913,7905]]",1
494,"[[10008,9076]]",1
495,"[[10864,8631],[6887,10018]]",1
496,"[[5865,12411],[11004,3825]]",1
497,"[[3698,8136],[3326,10428]]",1
498,"[[7808,10713],[11379,7084],[11602,7792]]",1
499,"[[10669,8780],[7453,9674],[7431,6296]]",0
500,"[[12109,6863],[12016,13344]]",0
501,"[[6779,11486],[11281,6716],[11029,8691]]",1
502,"[[10162,8432]]",0
503,"[[11165,8258],[12406,6476],[9637,9064]]",0
504,"[[4216,11450]]",0
505,"[[12479,6637],[8883,2198],[6328,8202]]",0
506,"[[7086,9813],[6420,8062]]",1
507,"[[11048,8474],[7983,9591],[9532,8903]]",0
508,"[[5614,7534]]",1
509,"[[7587,5978]]",0
510,"[[7536,9676],[11163,5637]]",1
511,"[[6906,12752],[11512,6447],[11196,5926]]",1
512,"[[11456,6421],[7275,4840],[12486,6441]]",1
513,"[[11158,8322],[7916,10845]]",1
514,"[[11764,6651],[11098,8582],[11891,13974]]",0
515,"[[9112,5878]]",0
516,"[[8027,9889],[11207,7792],[10759,13991]]",1
517,"[[7064,11305],[3389,8070],[2080,10769]]",0
